43751  ,26.25  ,-3.10
44000  ,26.00  ,-3.12
44250  ,26.00  ,-3.11
44498  ,26.00  ,-3.11
44747  ,26.00  ,-3.09
44997  ,26.25  ,-3.04
45246  ,26.25  ,-3.05
45495  ,25.75  ,-3.08
45744  ,26.50  ,-3.10
45993  ,26.00  ,-3.09
46242  ,26.25  ,-3.14
46491  ,26.00  ,-3.16
46741  ,26.25  ,-3.21
46990  ,26.00  ,-3.21
47239  ,26.00  ,-3.23
47488  ,26.25  ,-3.28
47737  ,26.25  ,-3.33
47986  ,25.75  ,-3.30
48235  ,26.00  ,-3.31
48485  ,26.25  ,-3.32
48734  ,26.25  ,-3.33
48983  ,26.25  ,-3.34
49234  ,26.00  ,-3.33
49484  ,26.00  ,-3.35
49733  ,26.00  ,-3.36
49982  ,26.00  ,-3.37
50231  ,26.00  ,-3.36
50481  ,26.25  ,-3.36
50729  ,26.00  ,-3.33
50978  ,26.25  ,-3.30
51228  ,26.00  ,-3.29
51477  ,26.50  ,-3.29
51726  ,26.50  ,-3.27
51976  ,26.25  ,-3.24
52225  ,26.00  ,-3.22
52473  ,26.00  ,-3.23
52722  ,26.50  ,-3.23
52972  ,26.25  ,-3.23
53221  ,26.25  ,-3.24
53470  ,26.25  ,-3.25
53720  ,26.00  ,-3.25
53968  ,26.00  ,-3.26
54217  ,26.25  ,-3.27
54467  ,26.00  ,-3.25
54719  ,26.00  ,-3.25
54968  ,26.25  ,-3.26
55217  ,26.25  ,-3.27
55467  ,26.25  ,-3.30
55715  ,26.00  ,-3.32
55965  ,25.75  ,-3.34
56214  ,26.25  ,-3.34
56464  ,25.50  ,-3.34
56713  ,26.25  ,-3.36
56963  ,25.75  ,-3.34
57211  ,26.50  ,-3.35
57461  ,25.75  ,-3.33
57710  ,26.00  ,-3.33
57959  ,26.25  ,-3.35
58209  ,25.75  ,-3.32
58458  ,25.50  ,-3.30
58707  ,26.25  ,-3.29
58956  ,26.25  ,-3.30
59206  ,26.25  ,-3.30
59455  ,26.25  ,-3.28
59705  ,26.00  ,-3.29
59954  ,26.25  ,-3.26
60204  ,26.00  ,-3.24
60455  ,26.25  ,-3.24
60704  ,26.25  ,-3.25
60954  ,26.25  ,-3.25
61203  ,25.75  ,-3.24
61453  ,26.00  ,-3.25
61702  ,26.00  ,-3.23
61950  ,25.75  ,-3.23
62200  ,26.00  ,-3.23
62449  ,26.00  ,-3.23
62699  ,25.75  ,-3.24
62948  ,26.00  ,-3.26
63198  ,26.25  ,-3.26
63447  ,26.25  ,-3.26
63696  ,25.75  ,-3.27
63945  ,26.00  ,-3.26
64195  ,26.00  ,-3.27
64444  ,26.25  ,-3.28
64693  ,25.25  ,-3.30
64943  ,26.50  ,-3.29
65191  ,26.25  ,-3.30
65441  ,26.25  ,-3.31
65690  ,25.50  ,-3.30
65942  ,26.00  ,-3.30
66192  ,25.75  ,-3.33
66441  ,26.00  ,-3.34
66691  ,26.00  ,-3.35
